source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date	comment
en	All	HP:0000001	rdfs:label	kk	Барлығы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of body height	HP:0000002	rdfs:label	kk	Дене бойының ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Multicystic kidney dysplasia	HP:0000003	rdfs:label	kk	Мультикистозды бүйрек дисплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Mode of inheritance	HP:0000005	rdfs:label	kk	Тұқым қуалау түрі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Autosomal dominant inheritance	HP:0000006	rdfs:label	kk	Аутосомды-доминантты тұқым қуалау	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Autosomal recessive inheritance	HP:0000007	rdfs:label	kk	Аутосомды-рецессивті тұқым қуалау	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal morphology of female internal genitalia	HP:0000008	rdfs:label	kk	Әйелдің ішкі жыныс мүшелерінің морфологиялық ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Functional abnormality of the bladder	HP:0000009	rdfs:label	kk	Қуықтың функционалдық ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Recurrent urinary tract infections	HP:0000010	rdfs:label	kk	Қайталанатын несеп жолдары инфекциялары	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Neurogenic bladder	HP:0000011	rdfs:label	kk	Нейрогенді қуық	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Urinary urgency	HP:0000012	rdfs:label	kk	Зәрге императивті қысылу	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hypoplasia of the uterus	HP:0000013	rdfs:label	kk	Жатыр гипоплазиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormality of the bladder	HP:0000014	rdfs:label	kk	Қуықтың ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Bladder diverticulum	HP:0000015	rdfs:label	kk	Қуық дивертикулы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Urinary retention	HP:0000016	rdfs:label	kk	Зәр ретенциясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Nocturia	HP:0000017	rdfs:label	kk	Никтурия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Urinary hesitancy	HP:0000019	rdfs:label	kk	Зәр шығаруды бастаудың қиындауы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Urinary incontinence	HP:0000020	rdfs:label	kk	Зәр ұстамаушылығы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Megacystis	HP:0000021	rdfs:label	kk	Мегацистис	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal male internal genitalia morphology	HP:0000022	rdfs:label	kk	Еркектің ішкі жыныс мүшелерінің морфологиялық ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Inguinal hernia	HP:0000023	rdfs:label	kk	Шап жарығы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Prostatitis	HP:0000024	rdfs:label	kk	Простатит	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Functional abnormality of male internal genitalia	HP:0000025	rdfs:label	kk	Еркектің ішкі жыныс мүшелерінің функционалдық ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Male hypogonadism	HP:0000026	rdfs:label	kk	Еркектердегі гипогонадизм	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Azoospermia	HP:0000027	rdfs:label	kk	Азооспермия	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Cryptorchidism	HP:0000028	rdfs:label	kk	Крипторхизм	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Testicular atrophy	HP:0000029	rdfs:label	kk	Аталық бездің атрофиясы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Testicular gonadoblastoma	HP:0000030	rdfs:label	kk	Аталық бездің гонадобластомасы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Epididymitis	HP:0000031	rdfs:label	kk	Эпидидимит	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal male external genitalia morphology	HP:0000032	rdfs:label	kk	Еркектің сыртқы жыныс мүшелерінің морфологиялық ауытқуы	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ambiguous genitalia, male	HP:0000033	rdfs:label	kk	Еркектегі анық емес жыныс мүшелері	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Hydrocele testis	HP:0000034	rdfs:label	kk	Аталық без гидроцелесі	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
